City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bubaque,GW,81.05,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
2,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
5,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Hotel Central
6,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
7,Salalah,OM,78.89,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
8,Rikitea,PF,73.09,scattered clouds,-23.1203,-134.9692,People ThankYou
12,Praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
13,Hamilton,US,82.89,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
14,Touros,BR,76.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
16,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
17,Fairbanks,US,74.25,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
22,Thompson,CA,75.36,smoke,55.7435,-97.8558,Burntwood Hotel
23,Carutapera,BR,77.34,broken clouds,-1.195,-46.02,Lidera
25,Alanya,TR,78.93,scattered clouds,36.5438,31.9998,Panorama Hotel
30,Butaritari,KI,82.85,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
34,Axim,GH,76.1,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
36,Zhezkazgan,KZ,70.7,clear sky,47.8043,67.7144,Hotel Zumrat
48,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
49,Portland,US,77.9,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
50,Yellowknife,CA,71.29,broken clouds,62.456,-114.3525,The Explorer Hotel
51,Cody,US,88.29,clear sky,44.5263,-109.0565,Buffalo Bill (Cabins) Village
53,Cotonou,BJ,78.04,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
56,Fayaoue,NC,72.32,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
57,North Bend,US,75.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
61,Santa Rita,BR,74.07,broken clouds,-7.1139,-34.9781,Infinity Motel
64,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
65,Najran,SA,75.81,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
70,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
76,Atuona,PF,77.56,broken clouds,-9.8,-139.0333,Villa Enata
77,Meulaboh,ID,75.11,overcast clouds,4.1363,96.1285,Kost Pria
82,Sulangan,PH,83.84,overcast clouds,11.1373,123.7228,Maia's Beach Resort
84,Arcata,US,79.66,clear sky,40.8665,-124.0828,"Hampton Inn & Suites Arcata, CA"
85,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
86,Natchez,US,89.04,scattered clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
87,Daru,PG,78.1,overcast clouds,-9.0763,143.2092,Daru Lodge
88,Nan,TH,71.74,light rain,18.8333,100.6667,สะเนียน2
90,Chaman,PK,78.33,clear sky,30.9236,66.4512,Niamat parda Center chaman
92,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
95,Mazara Del Vallo,IT,77.0,clear sky,37.6641,12.588,Vizier Resort & Spa
96,Komsomolskiy,UZ,72.82,clear sky,40.4272,71.7189,Ikathouse
97,Fairview,US,83.55,haze,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
98,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
99,Kropotkin,RU,73.06,light rain,45.4375,40.5756,Hotel Europe Kropotkin
101,Katsuura,JP,84.11,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
104,Hyeres,FR,76.48,clear sky,43.1167,6.1167,Hôtel des Palmiers
105,Fortuna,US,81.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
112,Akdepe,TM,75.2,clear sky,42.0551,59.3788,Мой дом
115,Sabang,ID,82.6,overcast clouds,5.8933,95.3214,Hotel Citra
116,Haines Junction,CA,71.08,overcast clouds,60.7522,-137.5108,Parkside Inn
117,Acarau,BR,79.14,scattered clouds,-2.8856,-40.12,castelo pizzaria
120,Itamaraca,BR,74.08,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
122,Celestun,MX,86.18,scattered clouds,20.8667,-90.4,Posada Lilia
123,Mont-De-Marsan,FR,73.15,clear sky,44.0,-0.6667,Le moulin vieux
124,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
125,Cienaga De Oro,CO,89.58,broken clouds,8.8744,-75.6203,Calle 5 20- 45
127,Ribeira Grande,PT,70.2,broken clouds,38.5167,-28.7,Quinta da Meia Eira
128,Jamestown,US,72.99,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
133,Hilo,US,85.28,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
134,Faanui,PF,79.03,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Sanchazi,CN,72.07,overcast clouds,42.0817,126.6003,Home Inn
141,Padang,ID,75.85,broken clouds,-0.9492,100.3543,Mercure Padang
144,Tursunzoda,TJ,72.48,clear sky,38.5144,68.2333,Stoyanka Charli
148,Bengkulu,ID,74.01,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
152,Athens,GR,84.27,clear sky,37.9795,23.7162,Novotel Athenes
155,Soria,ES,74.86,few clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
157,Hanzhong,CN,70.14,clear sky,33.0728,107.0303,Guorui Hotel
158,Bani Walid,LY,72.88,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
163,Honiara,SB,81.68,scattered clouds,-9.4333,159.95,Heritage Park Hotel
165,Puerto Escondido,MX,88.09,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
166,Ambulu,ID,70.77,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
167,Omboue,GA,72.75,few clouds,-1.5746,9.2618,Hotel Olako
169,Kavaratti,IN,82.02,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
170,Cartersville,US,88.66,clear sky,34.1651,-84.7999,Hilton Garden Inn Cartersville
171,Rush,IE,70.83,broken clouds,53.5223,-6.0931,Sandyhills B&B
174,Bethel,US,80.69,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
176,Port Blair,IN,81.14,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
177,Saint Anthony,US,85.1,haze,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
178,Arawa,PG,81.25,light rain,-6.2132,155.5367,Coastline Guest House
179,Ibra,OM,89.71,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
181,Manokwari,ID,78.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
186,Mecca,SA,85.68,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
187,Hadejia,NG,83.91,broken clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
188,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
190,Goderich,CA,70.21,clear sky,43.7501,-81.7165,Harmony Inn
191,Loa Janan,ID,71.49,overcast clouds,-0.583,117.095,Pondok hijau 2A
193,Aklavik,CA,86.22,broken clouds,68.2191,-135.0107,Aklavik Inn
197,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
200,Broome,US,73.02,broken clouds,42.2506,-75.833,Chenango Valley State Park
205,Kalmunai,LK,81.61,overcast clouds,7.4167,81.8167,VS Villa
207,Solnechnyy,RU,78.19,light rain,50.7214,136.6319,Hotel complex Pastoral
211,Westport,US,82.06,thunderstorm,41.1415,-73.3579,The Westport Inn
213,San Policarpo,PH,81.86,overcast clouds,12.1791,125.5072,JM Lodge
215,Dayong,CN,74.1,few clouds,25.0209,118.2898,Haiyue Express Hotel
217,Paris,FR,74.98,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
218,Afogados Da Ingazeira,BR,72.45,broken clouds,-7.7508,-37.6392,Hotel Brotas
221,Hambantota,LK,80.11,overcast clouds,6.1241,81.1185,Bungalow 63
224,Acapulco,MX,87.69,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
232,Harper,LR,76.39,scattered clouds,4.375,-7.7169,Screensaver
234,Palmer,US,80.67,scattered clouds,42.1584,-72.3287,Wedgewood Motel
237,Labuhan,ID,76.01,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
239,Makakilo City,US,79.12,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
241,Cabo Rojo,PR,86.92,light rain,18.0866,-67.1457,Hotel Perichi's
