City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Wad Rawah,SD,76.37,overcast clouds,15.1603,33.1397,ود الترابي
4,Dawlatabad,AF,82.78,scattered clouds,36.4141,64.9053,WASIM ASGAR KHAN
7,Tuktoyaktuk,CA,77.0,clear sky,69.4541,-133.0374,End of The Road Ltd.
9,Celestun,MX,84.38,clear sky,20.8667,-90.4,Posada Lilia
10,Sibolga,ID,76.06,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
12,Hithadhoo,MV,81.1,overcast clouds,-0.6,73.0833,Scoop Guest House
21,Isangel,VU,82.51,few clouds,-19.55,169.2667,Tanna Lodge
25,Elko,US,88.74,broken clouds,41.0002,-115.5012,
26,Sabla,NG,84.16,clear sky,12.7525,4.7077,
28,Thompson,CA,75.36,few clouds,55.7435,-97.8558,Burntwood Hotel
32,Atuona,PF,77.4,scattered clouds,-9.8,-139.0333,Villa Enata
36,Jamestown,US,80.24,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
39,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
40,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Kahului,US,84.94,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
44,Nalut,LY,82.26,clear sky,30.3333,10.85,
49,Tambovka,RU,75.31,clear sky,50.0969,128.0489,Lyzhnaya Gorka
50,Albany,US,83.26,scattered clouds,42.6001,-73.9662,
54,Bethel,US,84.29,haze,41.3712,-73.414,Courtyard by Marriott Danbury
55,Teknaf,BD,78.44,broken clouds,20.8624,92.3058,Forestry Guesthouse
59,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
65,Butaritari,KI,82.45,light rain,3.0707,172.7902,Isles Sunset Lodge
66,Norman Wells,CA,80.64,few clouds,65.282,-126.8329,Heritage Hotel
75,Bara,NG,78.3,light rain,10.3744,10.7288,
76,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
79,Honiara,SB,84.42,broken clouds,-9.4333,159.95,Heritage Park Hotel
88,Bontang,ID,77.74,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
89,Sharqpur,PK,77.13,broken clouds,31.4633,74.1,Salim's Dental Clinic..Dr.Awais
92,Bloomsburg,US,85.24,clear sky,41.0037,-76.4549,Hampton Inn Bloomsburg
94,Aonla,IN,78.28,overcast clouds,28.2833,79.15,MK Lawn
100,Sahbuz,AZ,83.8,clear sky,39.4072,45.5739,
103,Abonnema,NG,75.22,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
108,Qarqin,AF,85.96,clear sky,37.4185,66.0436,
109,Khasan,RU,76.84,broken clouds,42.4308,130.6434,
110,Dakar,SN,81.48,overcast clouds,14.6937,-17.4441,Redface Studios Meublés
111,Bubaque,GW,81.91,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
112,Daru,PG,78.46,overcast clouds,-9.0763,143.2092,Daru Lodge
113,Balkanabat,TM,87.01,clear sky,39.5108,54.3671,Nebitchi Hotel
117,Marsh Harbour,BS,83.98,broken clouds,26.5412,-77.0636,Abaco Beach Resort
119,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
122,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
124,Jalu,LY,78.84,clear sky,29.0331,21.5482,صاحبة الفخامة
126,Maues,BR,77.13,scattered clouds,-3.3836,-57.7186,Hotel Miramar
132,Mantua,IT,79.84,clear sky,45.1667,10.7833,Hotel la Favorita
139,Seoul,KR,80.2,clear sky,37.5683,126.9778,롯데호텔 서울
144,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
145,Muli,MV,81.81,broken clouds,2.9167,73.5667,Medhufushi Island Resort
146,Umm Kaddadah,SD,83.7,overcast clouds,13.6017,26.6876,
156,Phuket,TH,86.09,few clouds,8.0,98.25,The Surin Phuket
157,The Valley,AI,86.14,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
161,Black River,JM,89.6,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
162,Victoria,HK,80.94,light rain,22.2855,114.1577,Mini Hotel Central
165,Sinnamary,GF,77.74,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
166,Kloulklubed,PW,82.9,broken clouds,7.0419,134.2556,Storyboard Beach Resort
167,Acapulco,MX,85.82,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
177,Mumford,GH,75.24,clear sky,5.2618,-0.759,Spanish Villa
178,San Cristobal,VE,80.78,clear sky,7.7669,-72.225,Posada Villaven C.A.
182,San Quintin,MX,76.62,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
183,Katsuura,JP,84.31,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
184,Port-Gentil,GA,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
193,Winona,US,86.29,clear sky,43.9666,-91.7668,
200,Erenhot,CN,80.24,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
202,Harindanga,IN,82.38,overcast clouds,22.0383,88.3214,QARI ARIF BILLAH HOUSE. & THE INTERNATIONAL TAHFIZUL. QURAN MADRASAH MISSAIN
204,Wanning,CN,80.42,overcast clouds,18.8003,110.3967,Paradise Hotel
