City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wad Rawah,SD,15.1603,33.1397,76.37,75,100,11.12,overcast clouds
1,Lebu,CL,-37.6167,-73.65,52.5,95,100,9.53,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,33.46,64,75,12.66,broken clouds
3,Khatanga,RU,71.9667,102.5,57.83,75,100,8.32,overcast clouds
4,Dawlatabad,AF,36.4141,64.9053,82.78,21,40,4.81,scattered clouds
5,Cassilandia,BR,-19.1133,-51.7342,60.37,16,61,4.25,broken clouds
6,Hermanus,ZA,-34.4187,19.2345,47.89,68,38,14.88,scattered clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,77,44,1,16.11,clear sky
8,Pingliang,CN,35.5392,106.6861,65.52,91,96,6.2,overcast clouds
9,Celestun,MX,20.8667,-90.4,84.38,71,4,14.99,clear sky
10,Sibolga,ID,1.7427,98.7792,76.06,86,83,2.95,broken clouds
11,Mataura,NZ,-46.1927,168.8643,43.48,81,96,3,moderate rain
12,Hithadhoo,MV,-0.6,73.0833,81.1,78,95,8.05,overcast clouds
13,Ribeira Grande,PT,38.5167,-28.7,68.72,87,22,14.25,few clouds
14,Busselton,AU,-33.65,115.3333,52.09,92,100,11.45,overcast clouds
15,Nanortalik,GL,60.1432,-45.2371,47.62,92,100,14.74,overcast clouds
16,Bluff,NZ,-46.6,168.3333,43.81,75,100,10.38,light rain
17,Port Alfred,ZA,-33.5906,26.891,54.01,84,100,21.12,moderate rain
18,Mayumba,GA,-3.432,10.6554,71.51,89,20,8.16,few clouds
19,Mahebourg,MU,-20.4081,57.7,71.26,64,75,17.27,broken clouds
20,Port Hardy,CA,50.6996,-127.4199,64.58,68,75,5.75,light intensity shower rain
21,Isangel,VU,-19.55,169.2667,82.51,74,20,5.75,few clouds
22,Santa Marta,CO,11.2408,-74.199,91.45,66,40,4.61,scattered clouds
23,Cherskiy,RU,68.75,161.3,64.92,39,99,5.61,overcast clouds
24,Kodiak,US,57.79,-152.4072,60.31,72,90,6.91,overcast clouds
25,Elko,US,41.0002,-115.5012,88.74,24,64,10,broken clouds
26,Sabla,NG,12.7525,4.7077,84.16,59,9,10.78,clear sky
27,Rikitea,PF,-23.1203,-134.9692,71.24,65,99,24.96,overcast clouds
28,Thompson,CA,55.7435,-97.8558,75.36,38,20,5.75,few clouds
29,Ondjiva,AO,-17.0667,15.7333,57.06,30,0,7.7,clear sky
30,Qaanaaq,GL,77.484,-69.3632,39.97,79,91,4.81,overcast clouds
31,Ostrovnoy,RU,68.0531,39.5131,46.26,89,96,6.71,overcast clouds
32,Atuona,PF,-9.8,-139.0333,77.4,75,38,26.11,scattered clouds
33,Narsaq,GL,60.9167,-46.05,46.62,95,100,5.37,moderate rain
34,Pangkalanbuun,ID,-2.6833,111.6167,74.08,98,94,1.92,overcast clouds
35,Ouango,CF,4.3133,22.5552,68.9,96,66,1.16,light rain
36,Jamestown,US,42.097,-79.2353,80.24,61,1,12.66,clear sky
37,Ancud,CL,-41.8697,-73.8203,53.13,94,97,4.12,overcast clouds
38,Carnarvon,AU,-24.8667,113.6333,68.07,78,90,6.91,overcast clouds
39,Kapaa,US,22.0752,-159.319,84.18,76,40,4,scattered clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,82.36,94,90,5.99,overcast clouds
41,Kahului,US,20.8947,-156.47,84.94,70,40,24.16,scattered clouds
42,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,75,17.27,light rain
43,Kabare,CD,-2.4683,28.8242,64.96,66,92,0.81,overcast clouds
44,Nalut,LY,30.3333,10.85,82.26,30,0,16.73,clear sky
45,Chara,RU,56.9064,118.2631,65.93,65,36,4.99,scattered clouds
